occurrence_no,record_type,reid_no,flags,collection_no,identified_name,identified_rank,identified_no,difference,final_name,extinct,accepted_name,accepted_attr,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,ref_author,ref_pubyr,reference_no,phylum,class,order,family,genus,plant_organ,plant_organ2,abund_value,abund_unit,lng,lat,occurrence_comments,collection_name,collection_subset,collection_aka,cc,state,county,latlng_basis,latlng_precision,geogscale,geogcomments,paleomodel,paleolng,paleolat,geoplate,cc.1,protected,formation,stratgroup,member,stratscale,zone,localsection,localbed,localorder,regionalsection,regionalbed,regionalorder,stratcomments,lithdescript,lithology1,lithadj1,lithification1,minor_lithology1,fossilsfrom1,lithology2,lithadj2,lithification2,minor_lithology2,fossilsfrom2,environment,tectonic_setting,geology_comments,assembl_comps,articulated_parts,associated_parts,common_body_parts,rare_body_parts,feed_pred_traces,artifacts,component_comments,pres_mode,preservation_quality,spatial_resolution,temporal_resolution,lagerstatten,concentration,orientation,abund_in_sediment,sorting,fragmentation,bioerosion,encrustation,preservation_comments,collection_type,collection_methods,museum,collection_coverage,collection_size,rock_censused,collectors,collection_dates,collection_comments,taxonomy_comments,taxon_environment,environment_basis,motility,life_habit,vision,diet,reproduction,ontogeny,ecospace_comments,composition,architecture,thickness,reinforcement,genus.1,time_bins,time_contain,time_major,time_buffer,time_overlap,primary_reference,midpoint_ma
655715,occ,,,70814.0,Sphyraena sp.,genus,36204.0,,Sphyraena,,Sphyraena,,genus,36204.0,Burdigalian,,20.44,15.97,Marsili et al.,2007.0,23748.0,Chordata,Actinopteri,NO_ORDER_SPECIFIED,Sphyraenidae,Sphyraena,,,2,elements,14.035832999999998,42.24361,,Montagna della Maiella,,Lettomanoppello,IT,,,estimated from map,seconds,local area,"northern sector of the Montagna della Maiella, in the Abruzzo Apennines, southeast of Lettomanoppello",gp_mid,"16,41","37,77",307,IT,,Bolognano,,middle,,,,,,,,,early Burdigalian biochonozone SBZ 25 of Cahuzac and Pignant (1997).,"bioclastic calcarenites (grainstones and subordinate packstones) with compound cross-bedding structures, characterized by abundant bryozoan remains, echinoderm fragments (mainly echinoids and chrinoides), molluscs and red algae","""mixed carbonate-siliciclastic""","""cross stratification""",,,Y,,,,,,slope/ramp reef,,carbonate ramp,,,,,,,,,,,,,,,,,,,,,,general faunal/floral,,,,,,,,,,marine,,actively mobile,nektonic,,omnivore,,,,phosphatic,,,,Sphyraena,Burdigalian,Burdigalian,Burdigalian,Burdigalian,Burdigalian,"S. Marsili, G. Carnevale, and E. Danese, G. Bianucci, W. Landini. 2007. Early Miocene vertebrates from Montagna della Maiella, Italy. Annales de Paleontologie 93:27-66",18.205000000000002
724326,occ,,,77783.0,Sphyraena sp.,genus,36204.0,,Sphyraena,,Sphyraena,,genus,36204.0,Burdigalian,,20.44,15.97,Welcomme et al.,1997.0,23349.0,Chordata,Actinopteri,NO_ORDER_SPECIFIED,Sphyraenidae,Sphyraena,,,,,69.14666700000001,29.031111,,Dera Bugti Marine Sand,,Bugti Hills,PK,Balochistan,,estimated from map,seconds,outcrop,apparently a single locality or several closely spaced localities,gp_mid,"70,34","19,93",501,PK,,,,,group of beds,,,,,,,,"from an interval 2 m thick within section B near Kumbi, far to the west of Dera Bugti city","""sable meuble ou consolidé""",sandstone,,poorly lithified,,,,,,,,marine indet.,,,"macrofossils,mesofossils",,,,,,,,body,,,,,,,,,,,,,general faunal/floral,field collection,,,,,,"1995, 1996",,,marine,,actively mobile,nektonic,,omnivore,,,,phosphatic,,,,Sphyraena,Burdigalian,Burdigalian,Burdigalian,Burdigalian,Burdigalian,"J. -L. Welcomme, P. -O. Antoine, and F. Duranthon, P. Mein, L. Ginsburg. 1997. Nouvelles decouvertes de vertebres miocenes dans le synclina de Dera Bugti (Balouchistan, Pakistan). Comptes Rendus Academie de Science Paris. Sciences de la terr et des planetes 325:531-536",18.205000000000002
752977,occ,,,32012.0,Sphyraena sp.,genus,36204.0,,Sphyraena,,Sphyraena,,genus,36204.0,Chattian,,28.1,23.03,Polkowsky,1994.0,27126.0,Chordata,Actinopteri,NO_ORDER_SPECIFIED,Sphyraenidae,Sphyraena,,,,,11.816667,53.716667,,"Echinoderms, Late Oligocene, Sternberg",,,DE,Mecklenburg-Vorpommern,Sternberg,based on nearby landmark,minutes,small collection,various collection points in the neighborhood of Sternberg,gp_mid,"15,32","48,95",315,DE,,,,,formation,,,,,,,,Dated as Upper Oligocene,,sandstone,,poorly lithified,calcareous,Y,,,,,,shoreface,cratonic basin,,"macrofossils,mesofossils",,,,,,,,body,,,time-averaged,,,,,,,,,,general faunal/floral,"bulk,selective quarrying,sieve,field collection",,,,,,,,,marine,,actively mobile,nektonic,,omnivore,,,,phosphatic,,,,Sphyraena,Chattian,Chattian,Chattian,Chattian,Chattian,S. Polkowsky. 1994. Das Sternberger Gestein un seine Artenzahl - Stand 1994. Archiv fur Geschiebekunde 1(10):605-614,25.565
1227246,occ,,,161374.0,Sphyraena sp.,genus,36204.0,,Sphyraena,,Sphyraena,,genus,36204.0,Early Clarendonian,,13.6,10.3,Pimiento,2014.0,52569.0,Chordata,Actinopteri,NO_ORDER_SPECIFIED,Sphyraenidae,Sphyraena,,,,,-83.0,30.4,,Swift Creek Mine,,HA003,US,Florida,Hamilton,based on political unit,1,,,gp_mid,"-78,23","32,23",109,US,,Statenville,,,,,,,,,,,,,,,,,,,,,,,marine indet.,,,macrofossils,,,,,,,,body,,,,,,,,,,,,,biostratigraphic,,FMNH,some genera,,,,,,,marine,,actively mobile,nektonic,,omnivore,,,,phosphatic,,,,Sphyraena,Serravallian,-,Serravallian,"Serravallian, Tortonian","Serravallian, Tortonian",C. Pimiento. 2014. Carcharocles megalodon unpublished collections from Natural History Museums around the world. ,11.95
41619,occ,,,3257.0,Sphyraena sp.,genus,36204.0,,Sphyraena,,Sphyraena,,genus,36204.0,Early Eocene,Middle Eocene,55.8,37.2,Bone et al.,1991.0,149.0,Chordata,Actinopteri,NO_ORDER_SPECIFIED,Sphyraenidae,Sphyraena,,,,,-1.166667,51.083332,common,M27 Motorway,,,UK,England,Hampshire,based on political unit,minutes,small collection,at Dummer's Copse between Allington Lane and Quob Lane,gp_mid,"5,97","43,28",315,UK,,,Bracklesham,,group of beds,,M27 Motorway,DC6ii  7,,,,,,,sandstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biostratigraphic,,,,,,,,,,marine,,actively mobile,nektonic,,omnivore,,,,phosphatic,,,,Sphyraena,-,-,-,-,"Ypresian, Lutetian, Bartonian, Priabonian","D. A. Bone, J. A. Todd, and S. Tracey. 1991. Fossils from the Bracklesham Group exposed in the M27 Motorway excavations, Southampton, Hampshire. Tertiary Research 12(3-4):131-137",46.5
474081,occ,,,47026.0,Sphyraena sp.,genus,36204.0,,Sphyraena,,Sphyraena,,genus,36204.0,Early Miocene,,23.03,15.97,Thomas et al.,1982.0,12499.0,Chordata,Actinopteri,NO_ORDER_SPECIFIED,Sphyraenidae,Sphyraena,,,,,49.393612,25.983610000000002,,"Al-Sarrar, Locality 7, Dam Formation",,,SA,,,based on nearby landmark,seconds,,"Al-Sarrar area, less than 90km from the coast of the Arabian Gulf. Rocks of the Dam formation are well exposed west of the road from Ain Dar Junction to Nu'ayriyah. Co-ordinates based on Ayn Dar.",gp_mid,"48,17","18,07",503,SA,,Dam,,,,,,,,,,,"Late Early Miocene. There are 3 Formations in the succession - the Hadruck, Dam and Hofuf (Hofuf overlies the others). Type section of the Dam Formation is Jabal al Lidam. The depth of the formation at Al-Sarrar varies, but is around 30m. Near the Arabian Gulf the Formation is entirely marine, with more continental facies inland. The Al-Sarrar area is an area of 'continental sediments interbedded with the marine series'.\r\nFauna has been collected from a number of localities which have been entered individually.\r\n",No lithology given for locality 7.,,,,,,,,,,,fluvial indet.,,"'The lithologies, sedimentary structures (presence of palaeocurrents in loc. 6 and 8), the character of the fauna exclusively continental and the deposition laid down into low energy zone (specially in loc. 6 and 8 explaining the scarcity of small vertebrates and the association of postcranial bones) suggest a fluviatile environment.'","macrofossils,mesofossils",,,,,,,,,,,,,,,,,,,,"Favourable bone concentration in localities 6, 7, 8, 9 and 23. Associated postcranial elements are not rare in localities 6 and 8. Skulls and mandibles do not show any signs of rolling or transportation before burial; although fragile, scapula and tusks are taken out in good condition. Associated skull and mandible of mastodonts have been recovered from localities 6, 8 and 23, indicating burial in a low energy environment.",general faunal/floral,"bulk,field collection",,,,,,,"Al-Sarrar localities 4-9 and 11-24 can all be dated within a short period of time. Localities 5,6,7,8, and 9 are considered contemporaneous. \r\nAll fossil material housed in the Department of Antiquities and Museums at Riyadh.\r\n","Four orders and 7 genera of fish are recognised 'mainly from localities 7, 9 and 21' but they are not all listed by locality. Those that are listed by locality have been entered on the faunal lists. The others are: Hyperopisus sp., Barbus sp., Labeo sp., Heterobranchus sp., Clarias sp. and Lates sp. ",marine,,actively mobile,nektonic,,omnivore,,,,phosphatic,,,,Sphyraena,Burdigalian,-,Burdigalian,"Aquitanian, Burdigalian","Aquitanian, Burdigalian","H. Thomas, S. Sen, and M. Khan, B. Battail, G. Ligabue. 1982. The Lower Miocene Fauna of Al-Sarrar (Eastern Province, Saudi Arabia). Atlal 5(3a):109-136",19.5
804322,occ,,,65798.0,Sphyraena sp.,genus,36204.0,,Sphyraena,,Sphyraena,,genus,36204.0,Early Miocene,,23.03,15.97,Sahni and Mishra,1975.0,11991.0,Chordata,Actinopteri,NO_ORDER_SPECIFIED,Sphyraenidae,Sphyraena,,,,,68.949997,23.549999,,"Matanomadh, Miocene",,,IN,Gujarat,,estimated from map,seconds,,"Matanomadh, Kutch Pen., India",gp_mid,"69,25","13,52",501,IN,,,,Bermoti,,,,,,,,,Aida Stage (Lower Miocene),grey coloured shales,"""shale""",gray,,,Y,,,,,,marine indet.,,,macrofossils,,,,,,,,"body,original phosphate",,,,,,,,,,,,,taxonomic,,,,,,,,,,marine,,actively mobile,nektonic,,omnivore,,,,phosphatic,,,,Sphyraena,Burdigalian,-,Burdigalian,"Aquitanian, Burdigalian","Aquitanian, Burdigalian",A. Sahni and V. P. Mishra. 1975. Lower Tertiary vertebrates from western India. Monograph of the Palaeontological Society of India 3:1-48,19.5
1141029,occ,,,145379.0,Sphyraena sp.,genus,36204.0,,Sphyraena,,Sphyraena,,genus,36204.0,Early Miocene,,23.03,15.97,Sánchez-Villagra et al.,2004.0,47006.0,Chordata,Actinopteri,NO_ORDER_SPECIFIED,Sphyraenidae,Sphyraena,,,,,-70.070557,10.368056,MBLUZ-P-5063 to MBLUZ-P-5065,"Cerro La Cruz, Castillo Formation, Unit C",,,VE,Lara,,stated in text,seconds,local area,"Cerro La Cruz, southern flank of the Serrania La Baragua, in the north-west of Lara State.",gp_mid,"-63,83","10,94",203,VE,,Castillo,,,group of beds,,,,,,,,Unit C (Rincon et al. 2014),,not reported,,,,Y,,,,,,fluvial indet.,,Earlier fossil discoveries from Cerro La Cruz indicated a near-shore marine environment; the latest discoveries indicate in addition fluvial and terrestrial (perhaps coastal) deposits. Elements of the fauna are consistent with the hypothesis that a tributary and/or delta of the Orinoco existed in this area of north-weastern Venezuela during early Miocene times.,macrofossils,,,,,,,,body,,,,,,,,,,,,,taxonomic,field collection,,all macrofossils,,,,,"Specimens deposited in the Paleontology Section of the Museo de Biología de la Universidad del Zulia, Maracaibo (MBLUZ-P)",,marine,,actively mobile,nektonic,,omnivore,,,,phosphatic,,,,Sphyraena,Burdigalian,-,Burdigalian,"Aquitanian, Burdigalian","Aquitanian, Burdigalian","M. R. Sánchez-Villagra, R. J. Asher, and A. D. Rincón, A. A. Carlini, P. Meylan, R. W. Purdy. 2004. New faunal reports for the Cerro La Cruz locality (lower Miocene), north-western Venezuela. Special Papers in Palaeontology 71:105-112",19.5
1375505,occ,,,187875.0,Sphyraena sp.,genus,36204.0,,Sphyraena,,Sphyraena,,genus,36204.0,Early Miocene,,23.03,15.97,Laurito et al.,2014.0,63030.0,Chordata,Actinopteri,NO_ORDER_SPECIFIED,Sphyraenidae,Sphyraena,,,,,-83.553612,9.922222,,Pacuare de Tres Equis,,,CR,,,stated in text,seconds,,misma que se localiza en las coordenadas 9o55’20.0’’N/83o33’13.3’’W de la hoja Tucurrique (3445 I) escala 1:50 000 del IGN (Fig.1).,gp_mid,"-79,94","12,59",204,CR,,Río Banano,,,,,,,,,,,,,not reported,,,,,,,,,,marine indet.,,,macrofossils,,,,,,,,body,,,,,,,,,,,,,general faunal/floral,,,,,,,,,,marine,,actively mobile,nektonic,,omnivore,,,,phosphatic,,,,Sphyraena,Burdigalian,-,Burdigalian,"Aquitanian, Burdigalian","Aquitanian, Burdigalian","C. A. Laurito, C. Calvo, and A. L. Valerio, A. Calvo, R. Chacón. 2014. Ictiofauna del Mioceno inferior de localidad de Pacuare des Tres Equis, Formación Río Banao, Provincia de Cartago, Costa Rica, y descripción de un nuevo género y una Nueva Especie de Scaridae. Revista Geológica de América Central 50:153-192",19.5
646297,occ,,,69805.0,Sphyraena sp.,genus,36204.0,,Sphyraena,,Sphyraena,,genus,36204.0,Early Oligocene,,33.9,28.4,Merle et al.,2002.0,23435.0,Chordata,Actinopteri,NO_ORDER_SPECIFIED,Sphyraenidae,Sphyraena,,,,,-2.3375,48.475834000000006,,Vayres-sure-Essone,,Carrière de La Roche-Cassée,FR,,,stated in text,seconds,outcrop,"coordinates converted from UTM values: 600 m2 ""lentille"" that is ""near the road D153, 1.5 km west of Vayres-sur-Essone""",gp_mid,"2,62","43,55",305,FR,,,,,bed,,,,,,,,"""base of the Upper Stampian""; entirely from a 0.10 m bed","""complex unit of pebbly sands""",sandstone,pebbly,,,,,,,,,coastal indet.,,"undelrying bed indicates a ""marine infralittoral environment"" and vertebrate assemblage is from ""both sides of the shoreline""",macrofossils,,,,,,,,body,,allochthonous,,,,,,,,,,"""eroded bones, probably dragged in by marine currents""",paleoecologic,field collection,,,,,,,,,marine,,actively mobile,nektonic,,omnivore,,,,phosphatic,,,,Sphyraena,Rupelian,Rupelian,Rupelian,Rupelian,Rupelian,"D. Merle, J.-P. Baut, and L. Ginsburg, C. Sagne, S. Hervet, R.-P. Carriol, M.-T. Vénec-Peyré, M.-M. Blanc-Valleron, C. Mourer-Chauviré, D. Arambol, P. Viette. 2002. Découverte d'une faune de vertébrés dans l'Oligocène inférieur de Vayres-sur-Essone (bassin de Paris, France): biodiversité et paléoenvironnement. Comptes Rendus Palevol 1(2):111-116",31.15
745976,occ,,,79971.0,Sphyraena sp.,genus,36204.0,,Sphyraena,,Sphyraena,,genus,36204.0,Eocene,,56.0,33.9,Case and West,1991.0,18054.0,Chordata,Actinopteri,NO_ORDER_SPECIFIED,Sphyraenidae,Sphyraena,,,,,70.38333100000001,30.6,,Drazinda Shale Member,,,PK,,,stated in text,minutes,,"eastwest through the deep valley of Sangarh Nala, west of the town of Taunsa",gp_mid,"72,04",9,501,PK,,Kithar,,,,,,,,,,,,,"""limestone""",,,,Y,,,,,,marine indet.,,,"macrofossils,mesofossils",,,,,,,,,,,,,,,,,,,,,taxonomic,,,,,,,,,,marine,,actively mobile,nektonic,,omnivore,,,,phosphatic,,,,Sphyraena,-,-,-,-,"Ypresian, Lutetian, Bartonian, Priabonian","G. R. Case and R. M. West. 1991. Geology and Paleontology of the Eocene Drazinda Shale Member of the Khirthar Formation, central Western Pakistan, Part II Late Eocene fishes. Tertiary Research 12(3-4):105-120",44.95
1504870,occ,,,209855.0,Sphyraena sp.,genus,36204.0,,Sphyraena,,Sphyraena,,genus,36204.0,Holocene,,0.0117,0.0,Jones O'Day,2002.0,72397.0,Chordata,Actinopteri,NO_ORDER_SPECIFIED,Sphyraenidae,Sphyraena,,,3,specimens,-71.727997,21.780001000000002,,"Ia góra site (MC-6), unit J, Middle Caicos",,,,,,based on nearby landmark,2,outcrop,"The Ia góra site lies on the southeastern portion of Middle Caicos, abutting the extensive tidal flat that runs along the southern side of the island. It sits on a slight rise about 1 m above the tidal flat. About 0.6 km northeast of the site is Armstrong Pond",gp_mid,"-71,73","21,78",206,,,,,,bed,,,,,,,,"The two AMS 14C dates on Thick-knee bones suggest that cultural material, including faunal remains, was deposited in the Structure VIII midden between cal A.D. 1430-1660.",,not reported,,,,,,,,,,terrestrial indet.,,,macrofossils,,,,,,"bone tools,ceramics",,"body,anthropogenic,midden",,,,,,,,,,,,,archaeological,"selective quarrying,sieve",FMNH,,,,,,,,marine,,actively mobile,nektonic,,omnivore,,,,phosphatic,,,,Sphyraena,Holocene,Holocene,Holocene,Holocene,Holocene,"S. Jones O'Day. 2002. Late Prehistoric Lucayan occupation and subsistence on Middle\r\nCaicos Island, northern West Indies. Caribbean Journal of Science 38:1-10",0.00585
1407009,occ,,,188304.0,Sphyraena sp.,genus,36204.0,,Sphyraena,,Sphyraena,,genus,36204.0,Late Pleistocene,,0.126,0.0117,Boessenecker et al.,2018.0,66045.0,Chordata,Actinopteri,NO_ORDER_SPECIFIED,Sphyraenidae,Sphyraena,,,,,-80.31115,33.104012,,Austin Sand Pit,,,US,South Carolina,Dorchester,estimated from map,5,,"Austin Sand Pit (Ridgeville, SC)",gp_mid,"-80,31","33,1",109,US,,Waccamaw,,,,,,,,,,,Age after Boessenecker et al 2018.,,sandstone,,unlithified,,Y,,,,,,marine indet.,,,macrofossils,,,,,,,,body,,,,,,,,,,,,,general faunal/floral,,,,,,,,,,marine,,actively mobile,nektonic,,omnivore,,,,phosphatic,,,,Sphyraena,Late Pleistocene,Late Pleistocene,Late Pleistocene,Late Pleistocene,Late Pleistocene,"S. J. Boessenecker, R. W. Boessenecker, and J. H. Geisler. 2018. Youngest record of the extinct walrus Ontocetus emmonsi from the Early Pleistocene of South Carolina and a review of North Atlantic walrus biochronology. Acta Palaeontologica Polonica 63(2):279-286",0.06885
1486324,occ,,,13346.0,Sphyraena sp.,genus,36204.0,,Sphyraena,,Sphyraena,,genus,36204.0,Lutetian,,47.8,41.3,Clayton et al.,2013.0,71116.0,Chordata,Actinopteri,NO_ORDER_SPECIFIED,Sphyraenidae,Sphyraena,,,,,-86.519997,31.366667,,Point A Dam Site,,"Point ""A"" Dam Site, Conecuh River",US,Alabama,Covington,based on nearby landmark,minutes,outcrop,"River Falls Quadrangle Topographic Sheet, 7.5 minute series, Covington County, Alabama, approximately NW 1/4, SW 1/4, Sec. 35, T5N, R15E, about 123-182 m south of the McWilliams Power Plant at the Dam, 1.6 km west of the town of Andalusia.",gp_mid,"-66,78","34,74",109,US,,Tallahatta,Claiborne,,formation,,,,,,,,"Original stratigraphy: ""The exposure situated below the Point ""A"" Dam is in the upper unit of the Tallahatta Formation, which in turn underlies the lowermost member of the Lisbon Formation..."" Lat long is for the Point A Dam.\r\n\r\nLater placed in the lowermost Lisbon Formation by Clayton et al., 2013.","""The formation consists primarily of sand, sandstone, clay, and claystone, ranging in thickness from 20 to 40 m at the outcropping.""",sandstone,,poorly lithified,sandy,,claystone,,poorly lithified,,,estuary/bay,,"""The formation consists primarily of sand, sandstone, clay, and claystone, ranging in thickness from 20 to 40 m at the outcropping."" \r\n\r\n\r\n",macrofossils,,,,,,,,"body,charcoalification",,,,,,,,,occasional,,,"Paleoenvironment is interpreted as tidal, riverine along a tropical coastline. Fossils of marine fishes and freshwater turtles occur together. The boid snake may be derived from an adjacent terrestrial habitat.",taxonomic,field collection,,some macrofossils,,,,,"Turtles, snakes, croc (and a charred pine knot possibly used as a ""stomach stone"") are described herein; at least 21 fish taxa are noted and were in the proccess of being described at the time of this publication.",,marine,,actively mobile,nektonic,,omnivore,,,,phosphatic,,,,Sphyraena,Lutetian,Lutetian,Lutetian,Lutetian,Lutetian,"A. A. Clayton, C. N. Ciampaglio, and D. J. Cicimurri. 2013. An inquiry into the stratigraphic occurrence of a Claibornian (Eocene) vertebrate fauna from Covington County, Alabama. Bulletin of the Alabama Museum of Natural History 31(2):60-73",44.55
1502270,occ,,,209368.0,Sphyraena sp.,genus,36204.0,,Sphyraena,,Sphyraena,,genus,36204.0,Lutetian,,47.8,41.3,Maisch et al.,2016.0,72247.0,Chordata,Actinopteri,NO_ORDER_SPECIFIED,Sphyraenidae,Sphyraena,,,,,-86.669586,31.376537,,Pigeon Creek,,,US,Alabama,Covington,estimated from map,6,,"along Pigeon Creek, Conecuh-Covington Counties, Alabama",gp_mid,"-66,93","34,78",109,US,,Tallahatta,,,,,,,,,,,lag deposit that separates the Tallahatta and Lisbon Formations,"The macrofossil lag is a quartz, glauconite sand containing original shell material and steinkerns belonging to oysters, bivalves, gastropods, and invertebrate ichnofossil casts, in addition to bones and teeth from chondrichthyans, osteichthyans, reptiles, and marine mammals.",sandstone,"glauconitic,quartzose",,,Y,,,,,,marginal marine indet.,,,macrofossils,,,,,,,,body,,,,,,,,,,,,,general faunal/floral,,,,,,,,,,marine,,actively mobile,nektonic,,omnivore,,,,phosphatic,,,,Sphyraena,Lutetian,Lutetian,Lutetian,Lutetian,Lutetian,"H. M. Maisch, M. A. Becker, and B. H. Raines. 2016. Osteichthyans from the Tallahatta–Lisbon Formation Contact (middle Eocene–Lutetian) Pigeon Creek, Conecuh-Covington Counties, Alabama with Comments on Transatlantic Occurrences in the Northern Atlantic Ocean Basin. PalArch’s Journal of Vertebrate Palaeontology 13(3):1-22",44.55
1502297,occ,,,209371.0,Sphyraena sp.,genus,36204.0,,Sphyraena,,Sphyraena,,genus,36204.0,Lutetian,,47.8,41.3,Breard and Stringer,1999.0,72248.0,Chordata,Actinopteri,NO_ORDER_SPECIFIED,Sphyraenidae,Sphyraena,,,,,-96.563866,30.674219,,"Stone City Formation, type locality, Assemblage A",,,US,Texas,Brazos,estimated from map,5,,"located along the south bank of the Brazos River in Burleson County,Texas and is approximately 18.5 km west of Bryan, Brazos County, Texas",gp_mid,"-77,27","35,94",101,US,,Stone City,Claiborne,,,,,,,,,,"small glauconitic, phosphatic sandy lag deposit located three m below the base of the Main Glauconite bed",,sandstone,"glauconitic,phosphatic",,,Y,,,,,,marine indet.,,,macrofossils,,,,,,,,body,,,,,,,,,,,,,general faunal/floral,,,,,,,,,,marine,,actively mobile,nektonic,,omnivore,,,,phosphatic,,,,Sphyraena,Lutetian,Lutetian,Lutetian,Lutetian,Lutetian,"S. Q. Breard and G. L. Stringer. 1999. Integrated Paleoecology and Marine Vertebrate Fauna of the Stone City Formation (Middle Eocene), Brazos River Section, Texas. Gulf Coast Association of Geological Societies Transactions 49:132-142",44.55
1503191,occ,,,209522.0,Sphyraena sp.,genus,36204.0,,Sphyraena,,Sphyraena,,genus,36204.0,Lutetian,,47.8,41.3,Ebersole et al.,2019.0,71232.0,Chordata,Actinopteri,NO_ORDER_SPECIFIED,Sphyraenidae,Sphyraena,,,5,specimens,-88.336739,31.565483,,AMo-8,,,US,Alabama,Monroe,estimated from map,6,,needs better location specificity,gp_mid,"-68,57","35,28",109,US,,Tallahatta,,,,,,,,,,,,,not reported,,,,,,,,,,marine indet.,,,macrofossils,,,,,,,,body,,,,,,,,,,,,,general faunal/floral,,,,,,,,,,marine,,actively mobile,nektonic,,omnivore,,,,phosphatic,,,,Sphyraena,Lutetian,Lutetian,Lutetian,Lutetian,Lutetian,"J. A. Ebersole, D. J. Cicimurri, and G. L. Stringer. 2019. Taxonomy and biostratigraphy of the elasmobranchs and bony fishes (Chondrichthyes and Osteichthyes) of the lower-to-middle Eocene (Ypresian to Bartonian) Claiborne Group in Alabama, USA, including an analysis of otoliths. European Journal of Taxonomy 585:1-274",44.55
1503221,occ,,,209521.0,Sphyraena sp.,genus,36204.0,,Sphyraena,,Sphyraena,,genus,36204.0,Lutetian,,47.8,41.3,Ebersole et al.,2019.0,71232.0,Chordata,Actinopteri,NO_ORDER_SPECIFIED,Sphyraenidae,Sphyraena,,,2,specimens,-88.324219,31.785664,,ACh-14,,,US,Alabama,Choctaw,estimated from map,6,,needs better location specificity,gp_mid,"-68,5","35,5",109,US,,Tallahatta,,,,,,,,,,,,,not reported,,,,,,,,,,marine indet.,,,macrofossils,,,,,,,,body,,,,,,,,,,,,,general faunal/floral,,,,,,,,,,marine,,actively mobile,nektonic,,omnivore,,,,phosphatic,,,,Sphyraena,Lutetian,Lutetian,Lutetian,Lutetian,Lutetian,"J. A. Ebersole, D. J. Cicimurri, and G. L. Stringer. 2019. Taxonomy and biostratigraphy of the elasmobranchs and bony fishes (Chondrichthyes and Osteichthyes) of the lower-to-middle Eocene (Ypresian to Bartonian) Claiborne Group in Alabama, USA, including an analysis of otoliths. European Journal of Taxonomy 585:1-274",44.55
501984,occ,,,51002.0,Sphyraena sp.,genus,36204.0,,Sphyraena,,Sphyraena,,genus,36204.0,MN 5,,15.97,13.65,Daxner-Höck et al.,2004.0,13612.0,Chordata,Actinopteri,NO_ORDER_SPECIFIED,Sphyraenidae,Sphyraena,,,1,elements,16.061111,48.634724,,Grund,,GRU,AT,,,estimated from map,seconds,,,gp_mid,"17,74","45,69",305,AT,,Grund,,,,,,,,,,,"MN5, Lower Langhian","yellowish, fine sands and silts",sandstone,"fine,yellow",,,Y,siltstone,"fine,yellow",,,Y,marginal marine indet.,,"warm, up to 100m deep corresponding to outer shelf, mixing of shallow and deep water",macrofossils,,,,,,,,"body,original phosphate",,,,,,,,,,,,,taxonomic,"selective quarrying,surface (in situ),field collection",,some macrofossils,,,,,,,marine,,actively mobile,nektonic,,omnivore,,,,phosphatic,,,,Sphyraena,Langhian,-,Langhian,"Langhian, Serravallian","Langhian, Serravallian","G. Daxner-Höck, P. M. Miklas-Tempfer, and U. B. Gohlich, K. Huttenen, E. Kazar, D. Nagel, G. E. Roessner, O. Schultz, R. Ziegler. 2004. Marine and terrestrial vertebrates from the Middle Miocene of Grund (Lower Austria). Geologica Carpathica 55(2):191-197",14.81
289832,occ,,,16549.0,Sphyraena sp.,genus,36204.0,,Sphyraena,,Sphyraena,,genus,36204.0,Priabonian,,38.0,33.9,Westgate,1984.0,701.0,Chordata,Actinopteri,NO_ORDER_SPECIFIED,Sphyraenidae,Sphyraena,,,,,-90.734718,35.011944,,Crow Creek,,,US,Arkansas,Saint Francis,stated in text,seconds,outcrop,SE 1/4 SE 1/4 NE 1/4 SW 1/4 sec 25 T5N R3E,gp_mid,"-74,82","38,99",101,US,,,Jackson,,group of beds,,,,,,,,"""broad correlation between the Crow Creek fauna and Uintan to Chadronian faunas in the continental interior"", apparently from a bed < 1 m thick\r\n\r\nAEO estimate of 44.5 - 44.4 Ma (Lutetian) significantly conflicts with marine mammal biochronology\r\nPriabonian age after Weems et al 2004 (ref. 18945).","""silty to sandy marl that appears dark gray in fresh exposures and reddish-brown when weathered. Invertebrate remains often occur in excess of 50% of the sediment volume. Small percentages of clay are present.""",marl,"shelly/skeletal,gray",,"argillaceous,silty",Y,,,,,,estuary/bay,,"""intertidal conditions... coastal stream influences... hyposaline... estuarine""","macrofossils,mesofossils",,,,,,,,body,,,,,,,,,,,,,general faunal/floral,"bulk,sieve,field collection",,,,,,,,,marine,,actively mobile,nektonic,,omnivore,,,,phosphatic,,,,Sphyraena,Priabonian,Priabonian,Priabonian,Priabonian,Priabonian,"J. W. Westgate. 1984. Lower vertebrates from the Late Eocene Crow Creek local fauna, St. Francis County, Arkansas. Journal of Vertebrate Paleontology 4(4):536-546",35.95
